,date,Temperature,CloudOpacity,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Sunrise,Sunset
100,2019-04-10,10.414285714285715,65.60714285714286,104.21428571428571,0.6428571428571429,104.28571428571429,16.271428571428572,82.8,998.4642857142856,118.42857142857143,4.2214285714285715,09:00:00,21:00:00
101,2019-04-11,9.014285714285714,0.33571428571428574,79.14285714285714,674.2857142857143,451.7142857142857,6.078571428571429,54.699999999999996,1005.9928571428572,24.928571428571427,5.092857142857143,09:00:00,21:00:00
102,2019-04-12,8.114285714285714,15.2,170.57142857142858,360.35714285714283,373.2142857142857,7.171428571428571,53.699999999999996,1007.8071428571429,25.857142857142858,4.207142857142856,09:00:00,21:00:00
103,2019-04-13,6.007142857142858,5.342857142857142,145.92857142857142,519.6428571428571,423.14285714285717,5.957142857142857,52.13571428571429,1008.9285714285714,34.42857142857143,4.314285714285714,09:00:00,21:00:00
104,2019-04-14,5.964285714285714,13.735714285714284,197.28571428571428,362.5,386.2142857142857,6.978571428571429,56.22142857142858,1008.0714285714286,58.785714285714285,3.599999999999999,09:00:00,21:00:00
105,2019-04-15,11.564285714285715,8.407142857142857,123.78571428571429,552.1428571428571,437.57142857142856,11.499999999999998,53.51428571428572,1003.6785714285714,111.78571428571429,5.5,09:00:00,21:00:00
106,2019-04-16,9.842857142857143,67.20714285714286,124.14285714285714,0.0,124.14285714285714,20.264285714285712,86.57857142857142,1000.9428571428571,253.35714285714286,3.128571428571429,09:00:00,21:00:00
107,2019-04-17,14.150000000000004,4.792857142857143,109.85714285714286,604.3571428571429,448.42857142857144,13.357142857142858,62.35000000000001,1005.3142857142857,132.28571428571428,3.0071428571428576,09:00:00,21:00:00
108,2019-04-18,18.042857142857144,8.857142857142856,149.0,470.2857142857143,423.7857142857143,18.678571428571427,52.949999999999996,1004.9714285714286,94.92857142857143,4.278571428571428,09:00:00,21:00:00
109,2019-04-19,18.921428571428574,0.2714285714285714,101.07142857142857,616.2142857142857,458.42857142857144,16.700000000000003,51.91428571428571,1010.1000000000001,80.5,1.5142857142857142,09:00:00,21:00:00
110,2019-04-20,19.857142857142858,1.1428571428571428,90.71428571428571,646.5714285714286,468.7142857142857,14.485714285714286,45.464285714285715,1011.0000000000001,50.42857142857143,3.2142857142857144,09:00:00,21:00:00
111,2019-04-21,18.87333333333334,10.633333333333333,163.33333333333334,402.8666666666667,392.53333333333336,10.566666666666666,43.92,1002.8733333333334,72.8,3.0,09:00:00,21:00:00
112,2019-04-22,19.37857142857143,19.52857142857143,251.85714285714286,161.0,344.35714285714283,18.05,51.478571428571435,991.0571428571429,84.92857142857143,1.485714285714286,09:00:00,21:00:00
113,2019-04-23,18.328571428571426,56.30714285714286,188.5,0.0,188.5,22.20714285714286,54.08571428571428,981.7357142857145,158.85714285714286,2.2071428571428573,09:00:00,21:00:00
114,2019-04-24,14.006666666666666,38.83333333333333,189.06666666666666,105.6,225.13333333333333,19.80666666666667,77.08,983.76,186.2,6.8066666666666675,09:00:00,21:00:00
115,2019-04-25,12.457142857142856,60.19285714285714,168.64285714285714,64.14285714285714,199.71428571428572,16.371428571428574,74.64999999999999,989.2071428571428,193.92857142857142,6.1571428571428575,09:00:00,21:00:00
116,2019-04-26,12.666666666666666,14.366666666666667,182.66666666666666,399.6,388.8666666666667,14.659999999999998,68.76,999.2133333333333,218.0,4.386666666666666,09:00:00,21:00:00
117,2019-04-27,10.606666666666667,36.12666666666667,170.13333333333333,257.8666666666667,339.6666666666667,11.113333333333333,66.02666666666667,1002.5933333333331,267.6,8.406666666666666,09:00:00,21:00:00
118,2019-04-28,9.166666666666666,47.5,178.2,45.6,197.2,12.733333333333336,72.16666666666667,1006.0533333333333,296.73333333333335,6.266666666666666,09:00:00,21:00:00
119,2019-04-29,10.960000000000003,17.606666666666666,247.73333333333332,234.73333333333332,369.06666666666666,11.386666666666667,67.32,1009.9066666666666,39.0,2.2133333333333334,09:00:00,21:00:00
120,2019-04-30,12.153333333333334,7.806666666666667,161.46666666666667,436.53333333333336,421.2,14.700000000000001,64.49333333333333,1008.0533333333333,18.666666666666668,3.253333333333333,09:00:00,21:00:00
121,2019-05-01,13.033333333333331,23.453333333333333,181.4,288.8666666666667,395.4,16.186666666666667,70.23333333333333,1002.6066666666666,209.06666666666666,1.6,09:00:00,21:00:00
122,2019-05-02,11.5,57.18,180.66666666666666,25.6,192.26666666666668,17.06,74.61999999999999,999.5866666666665,306.4,4.726666666666666,09:00:00,21:00:00
123,2019-05-03,11.359999999999998,40.95333333333333,217.8,65.13333333333334,266.26666666666665,14.973333333333331,73.82,999.6399999999999,325.8666666666667,2.62,09:00:00,21:00:00
124,2019-05-04,7.333333333333333,53.96666666666667,170.06666666666666,86.6,212.53333333333333,11.193333333333332,77.94000000000003,999.6266666666668,211.0,6.26,09:00:00,21:00:00
125,2019-05-05,8.133333333333333,26.446666666666662,226.33333333333334,179.4,318.06666666666666,8.826666666666666,62.733333333333334,1008.3,214.86666666666667,6.273333333333334,09:00:00,21:00:00
126,2019-05-06,8.953333333333331,32.86,200.13333333333333,215.13333333333333,303.73333333333335,8.853333333333332,56.620000000000005,1008.4733333333335,296.4,2.62,09:00:00,21:00:00
127,2019-05-07,11.766666666666667,28.279999999999998,224.73333333333332,266.8666666666667,402.26666666666665,13.213333333333331,51.96,1001.1666666666666,155.2,3.706666666666666,09:00:00,21:00:00
128,2019-05-08,12.966666666666669,62.286666666666655,149.6,57.53333333333333,167.66666666666666,18.173333333333332,76.83333333333333,984.9133333333333,211.53333333333333,7.013333333333333,09:00:00,21:00:00
129,2019-05-09,12.35625,54.268750000000004,180.1875,19.9375,190.875,16.63125,79.20625000000001,986.0062500000001,257.3125,7.0,09:00:00,22:00:00
130,2019-05-10,11.959999999999997,50.66,213.73333333333332,58.86666666666667,249.4,18.12,79.84666666666665,996.0399999999998,202.53333333333333,3.0133333333333328,09:00:00,21:00:00
131,2019-05-11,12.268750000000002,44.725,165.8125,120.8125,257.0625,15.3,74.71250000000002,1002.9312500000001,327.5625,6.0375000000000005,09:00:00,22:00:00
132,2019-05-12,10.556249999999999,8.50625,149.0,490.4375,443.0625,8.65625,56.71875,1019.20625,21.125,5.50625,09:00:00,22:00:00
133,2019-05-13,12.606250000000001,1.775,67.875,693.5,492.375,11.256250000000001,53.14374999999998,1020.5250000000001,48.6875,5.825,09:00:00,22:00:00
134,2019-05-14,13.775,0.0,67.75,694.5,492.5,12.5875,47.3625,1014.65625,51.9375,5.59375,09:00:00,22:00:00
135,2019-05-15,13.8875,0.056249999999999994,72.5625,685.875,495.5625,11.65,49.68750000000001,1008.5749999999999,55.6875,4.15625,09:00:00,22:00:00
136,2019-05-16,13.862499999999999,11.975,134.875,476.3125,450.875,11.731250000000001,50.19375,1000.6374999999999,62.0,3.4125,09:00:00,22:00:00
137,2019-05-17,14.743750000000002,51.393750000000004,220.0,19.4375,231.875,15.9,58.8875,991.0874999999999,114.75,1.58125,09:00:00,22:00:00
138,2019-05-18,14.425,61.912499999999994,195.8125,3.1875,197.5625,21.76875,72.49374999999999,990.8312499999998,168.1875,1.7999999999999998,09:00:00,22:00:00
139,2019-05-19,14.206249999999999,69.1875,148.5,0.5625,149.0,22.231250000000003,88.2,992.6687499999998,296.625,2.95,09:00:00,22:00:00
140,2019-05-20,14.70625,44.23125,228.5,13.625,233.6875,19.637500000000003,69.11250000000001,997.0750000000003,333.3125,4.0562499999999995,09:00:00,22:00:00
141,2019-05-21,15.568750000000001,32.84374999999999,159.875,181.5,261.0,17.31875,67.43750000000001,1002.8312499999998,335.5625,3.95,09:00:00,22:00:00
142,2019-05-22,16.18125,23.5375,255.625,199.0,385.9375,14.537500000000001,60.068750000000016,1006.0187500000001,192.125,1.2125,09:00:00,22:00:00
143,2019-05-23,17.900000000000002,18.743750000000002,187.0625,361.0,427.5,16.88125,53.54375000000001,1003.7312499999999,157.75,1.69375,09:00:00,22:00:00
144,2019-05-24,17.387500000000003,22.9875,232.9375,206.4375,390.75,21.268749999999997,61.275,1002.3624999999998,325.0,2.825,09:00:00,22:00:00
145,2019-05-25,16.762500000000003,35.03125,232.3125,86.5625,285.6875,20.312499999999996,69.525,1004.35,326.0,3.48125,09:00:00,22:00:00
146,2019-05-26,16.650000000000002,29.7875,165.9375,311.8125,370.6875,23.24375,69.06875,1002.7750000000001,265.4375,4.25,09:00:00,22:00:00
147,2019-05-27,16.25,38.78125,224.375,176.8125,351.6875,19.4875,68.89375,997.9437499999999,293.1875,4.09375,09:00:00,22:00:00
148,2019-05-28,13.456250000000002,32.506249999999994,242.25,129.625,318.0625,14.65,70.8125,998.23125,296.5625,5.4750000000000005,09:00:00,22:00:00
149,2019-05-29,14.968749999999998,36.99999999999999,273.6875,122.5,361.3125,17.79375,60.64375,1007.6062499999998,270.375,2.96875,09:00:00,22:00:00
150,2019-05-30,17.04375,57.63125000000001,196.125,9.3125,200.6875,26.093749999999993,73.4375,1011.08125,262.875,3.9875000000000003,09:00:00,22:00:00
151,2019-05-31,19.268749999999997,20.625,211.875,310.8125,386.5,20.59375,64.1375,1011.275,192.4375,1.70625,09:00:00,22:00:00
152,2019-06-01,24.19375,3.14375,83.625,652.75,508.125,21.768749999999997,54.637499999999996,1010.65625,148.5,2.1,09:00:00,22:00:00
